"11rv -- Syntyperä ja taustamaa sukupuolen mukaan kunnittain, 1990-2018"

"Alue";"Taustamaa";"Yhteensä 1990 Väestö 31.12.";"Yhteensä 1991 Väestö 31.12.";"Yhteensä 1992 Väestö 31.12.";"Yhteensä 1993 Väestö 31.12.";"Yhteensä 1994 Väestö 31.12.";"Yhteensä 1995 Väestö 31.12.";"Yhteensä 1996 Väestö 31.12.";"Yhteensä 1997 Väestö 31.12.";"Yhteensä 1998 Väestö 31.12.";"Yhteensä 1999 Väestö 31.12.";"Yhteensä 2000 Väestö 31.12.";"Yhteensä 2001 Väestö 31.12.";"Yhteensä 2002 Väestö 31.12.";"Yhteensä 2003 Väestö 31.12.";"Yhteensä 2004 Väestö 31.12.";"Yhteensä 2005 Väestö 31.12.";"Yhteensä 2006 Väestö 31.12.";"Yhteensä 2007 Väestö 31.12.";"Yhteensä 2008 Väestö 31.12.";"Yhteensä 2009 Väestö 31.12.";"Yhteensä 2010 Väestö 31.12.";"Yhteensä 2011 Väestö 31.12.";"Yhteensä 2012 Väestö 31.12.";"Yhteensä 2013 Väestö 31.12.";"Yhteensä 2014 Väestö 31.12.";"Yhteensä 2015 Väestö 31.12.";"Yhteensä 2016 Väestö 31.12.";"Yhteensä 2017 Väestö 31.12.";"Yhteensä 2018 Väestö 31.12."
"KOKO MAA";"Somalia";49;1412;1764;2737;3375;3861;4360;5055;5690;6030;6256;6729;7171;7581;7907;8411;8825;9642;10498;11546;12868;13923;14672;15723;16626;17761;18878;19807;20723
"Helsinki";"Somalia";13;155;475;942;1332;1632;1928;2322;2667;2909;3136;3435;3747;4071;4346;4707;4980;5305;5707;6100;6457;6796;7154;7520;7936;8655;9442;10192;10791
