"018 -- Työlliset ammattiryhmän (AML 2010, tasot 1-2), taustamaan, sukupuolen ja vuoden mukaan 2010-2016"

"Ammattiryhmä";"Taustamaa";"Sukupuolet yhteensä 2016";"Sukupuolet yhteensä 2015";"Sukupuolet yhteensä 2014";"Sukupuolet yhteensä 2013";"Sukupuolet yhteensä 2012";"Sukupuolet yhteensä 2011";"Sukupuolet yhteensä 2010"
"72 Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";4214;3887;3817;3774;3776;3661;3258
"73 Käsityötuotteiden valmistajat, hienomekaanikot sekä painoalan työntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";276;278;284;289;317;302;277
"74 Sähkö- ja elektroniikka-alan työntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";1099;1003;970;944;863;813;729
"75 Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";1145;966;1002;1003;1022;962;953
"8 Prosessi- ja kuljetustyöntekijät (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";11325;10750;10542;10297;9859;9168;8412
"81 Prosessityöntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";4157;4011;3909;3785;3663;3476;3216
"82 Teollisuustuotteiden kokoonpanijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";1578;1506;1511;1471;1397;1301;1251
"83 Kuljetustyöntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";5590;5233;5122;5041;4799;4391;3945
"9 Muut työntekijät (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";22824;21128;20359;19875;18721;17002;14837
"91 Siivoojat, kotiapulaiset ja muut puhdistustyöntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";15236;14415;14222;13724;12613;11340;9975
"92 Maa-, metsä- ja kalatalouden avustavat työntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";66;70;68;83;80;73;70
"93 Teollisuuden ja rakentamisen avustavat työntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";4100;3329;3410;3436;3274;2914;2427
"94 Avustavat keittiö- ja ruokatyöntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2446;2375;1821;1729;1843;1602;1394
"95 Katumyyjät, kengänkiillottajat ym. (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";226;208;181;207;215;160;63
"96 Katujen puhtaanapidon ja jätehuollon työntekijät ym. (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";750;731;657;696;696;913;908
"X Tuntematon (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";9794;9963;7590;6469;6806;7040;4408
"XX Tuntematon (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";9794;9963;7590;6469;6806;7040;4408
